screen_name,lang,created_at,fav_count,retweet_count,text,location
johan_woda,in,10/2/2020 11:43,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",
SiesieAgustine,in,10/2/2020 11:39,0,10,"RT @OposisiCerdas: Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi
https://t.co/ReLKQnvlVg",
Bams_1eng,in,10/2/2020 11:14,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦","Háº£i PhÃ²ng, Viá»‡t Nam "
alec_bong,in,10/2/2020 10:39,0,2,"RT @kompascom: Selain Sandiaga Uno, ada nama besar lain yang juga akan menjadi jurkam paslon Gibran-Teguh di Solo | #Pilkada2020  
 https:/â€¦",Jakarta
mudha_satriya,in,10/2/2020 10:38,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦","ÃœT: -7.64886,111.04359"
merdekadotcom,in,10/2/2020 10:18,2,0,"Respons Kabar Sandiaga Bakal Jadi Jurkam, Gibran Rancang Kampanye Daring: Wakil Ketua Dewan Pembina Partai Gerindraâ€¦ https://t.co/xUCx2J2oSI",Indonesia
kompascom,in,10/2/2020 10:15,10,2,"Selain Sandiaga Uno, ada nama besar lain yang juga akan menjadi jurkam paslon Gibran-Teguh di Solo | #Pilkada2020  
 https://t.co/pODRRI69H9",Indonesia
Joko_Why,in,10/2/2020 9:37,0,0,"@Rikiandre8 @bolangwebberII @ustadtengkuzul Udah baca ini belom blog? 
https://t.co/KxOCLH88Pj","Rajadell, EspaÃ±a"
syarifptk,in,10/2/2020 9:33,0,15,"RT @ChristWamea: Sandiaga Uno Jadi Juru Kampanye Gibran-Teguh di Pilkada Solo, Disebut Ada Lobi Jokowi. Borong dari Medan sampai Solo. 
httâ€¦",Jakarta
Nr53N74H7N,in,10/2/2020 9:15,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",DiBawah Kolong langit.
Baktinegeri01,in,10/2/2020 8:44,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦","Kota Serang, Banten"
kal_wew,in,10/2/2020 8:42,0,75,"RT @DiniHrdianti: Sandiaga Uno menjadi juru kampanye pasangan calon wali kota dan wakil wali kota Solo, Gibran Rakabuming Raka-Teguh Prakosâ€¦",lare Gunung lare Kemaki ðŸ’¯%
teguh_gibran,es,10/2/2020 8:34,0,0,Hoammmmmm,"Sukabumi, Indonesia"
AbellineB,in,10/2/2020 8:32,0,0,"Gibran â€“ Teguh: Pilkada Sesuai Jadwal, Demokratis Dan Aman Dari Covid-19. https://t.co/7psU93htSu","Tuscany, Amsterdam, Denpasar"
