Minggu,screen_name,lang,created_at,fav_count,retweet_count,text,location
4,qiunco2761,in,10/20/2020 5:33,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,Vaneeya_C,in,10/20/2020 5:17,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,LimsoNan1,in,10/20/2020 4:08,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Korea,Soul Selatan"
4,Eg3epXuu8Aa3R1l,in,10/20/2020 4:04,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Manchester United, Pyongyang"
4,Parkjoyoung6,in,10/20/2020 3:58,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Soul,Korea"
4,Andraklaten,in,10/20/2020 3:54,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,BoomMpy,in,10/20/2020 3:50,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,AriestaRiico_,in,10/20/2020 3:48,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",Bhinneka Tunggal Ika 
4,SyahRungAn,in,10/20/2020 3:41,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",
4,seruanhl,in,10/20/2020 3:40,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…",Indonesia
4,Aryprasetyo85,in,10/20/2020 3:36,0,22,"RT @JendIsMyName__: #PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka - Teg…","Jakarta Pusat, DKI Jakarta"
4,JendIsMyName__,in,10/20/2020 3:34,23,22,"#PaslonKampanyeProkes
""Sejauh ini, belum ada laporan adanya pelanggaran kedua paslon, baik Gibran Rakabuming Raka -… https://t.co/Rz9RCsXfQI",Republik Indonesia 🇮🇩
4,radarmasnetwork,in,10/19/2020 7:19,0,0,Debat Terbuka Gibran-Teguh &amp; Bagyo-Supardjo Digelar 6 November https://t.co/XlwD19Q1sH,"Banyumas, Central Java"
4,jawapos,in,10/19/2020 6:59,1,0,Debat Terbuka Gibran-Teguh &amp; Bagyo-Supardjo Digelar 6 November https://t.co/i3fKRmjj2O,"Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
4,EBRoestono,in,10/17/2020 14:36,0,1,"RT @SuwandaBen: Dukungan Pasangan independen di Pilkada Solo Bagyo Wahyono dan FX Supardjo (Bajo) mulai mengalir
1. Para Purnawirawan Pejua…",Indonesia
4,SuwandaBen,in,10/17/2020 14:17,1,1,"Dukungan Pasangan independen di Pilkada Solo Bagyo Wahyono dan FX Supardjo (Bajo) mulai mengalir
1. Para Purnawiraw… https://t.co/7d0vMkns1T",
4,JarrFajarr_,in,10/17/2020 7:32,0,0,"APK Diturunkan Satpol PP Solo, Bagyo-Supardjo Ngaku Tak Masalah: Pihak Sebelah Juga Ditertibkan https://t.co/W83zLxNlqT","Sukoharjo, Indonesia"
4,tribunsolocom,in,10/17/2020 6:18,0,0,"APK Diturunkan Satpol PP Solo, Bagyo-Supardjo Ngaku Tak Masalah: Pihak Sebelah Juga Ditertibkan https://t.co/IFFUoXSbDb","Karanganyar, Jawa Tengah"
5,detikcom,in,11/9/2020 9:06,3,0,KPU Solo akan evaluasi debat perdana Pilkada Solo 2020 antara Gibran Rakabuming Raka-Teguh Prakosa dengan Bagyo Wah� https://t.co/Uj2d422qJ2,"Jakarta, Indonesia"
5,kompascom,in,11/9/2020 7:32,0,0,"Bagyo Wahyono-FX Supardjo (Bajo), ingin membangun hunian bagi warga yang hidup di bawah garis kemiskinan di bantara� https://t.co/Bh2LUwyAOD",Indonesia
5,IonCorporation,in,11/8/2020 4:35,0,0,Hadir pula paslon nomor urut 2 Bagyo Wahyono - FX.Supardjo (Bajo).Gibran menyoroti program paperless yang akan dimu� https://t.co/cGAV7YsYqD,
5,kawalnegeri,in,11/7/2020 10:59,1,0,"Hmm, kalian semalem nonton debat calon walikota Solo nggak di tv? atau streaming deh di yutub?~
Seru dong? Atau mal� https://t.co/2ayBZc5V7r",Indonesia
5,eknug,in,11/7/2020 9:25,0,2,RT @detikfinance: Calon Wali Kota/Wakil Wali Kota Solo nomor urut 2 Bagyo dan FX Supardjo (Bajo) akan melibatkan semua pengusaha di wilayah�,S 7? 49' 0'' / E 110? 23' 0''
5,INASLI1,in,11/7/2020 8:22,2,0,"Debat Publik Antar Paslon Pilwalkot Surakarta 2020, di @Metro_TV antara paslon 1 Gibran Rakabuming-Teguh Prakosa &amp;� https://t.co/TSta3LfYq8","DKI Jakarta, Indonesia"
5,Ayo_Memilih,in,11/7/2020 0:04,0,3,"RT @merdekadotcom: Usai Debat Pertama, Gibran Serahkan Penilaian kepada Warga Solo: Debat publik Pilkada Solo 2020 antara pasangan Gibran R�",Indonesia
5,jawapos,in,11/6/2020 16:40,0,0,"Gibran-Teguh Ide Wellness Tourism, Bagyo-Supardjo: Hunian di Bantaran https://t.co/JYfcddATm3","Gedung Graha Pena Lt.10, Jl. Raya Kebayoran Lama No. 12, Kebayoran Lama, Jakarta Selatan, Indonesia 12210"
5,iniherman2,in,11/6/2020 15:51,0,3,"RT @merdekadotcom: Usai Debat Pertama, Gibran Serahkan Penilaian kepada Warga Solo: Debat publik Pilkada Solo 2020 antara pasangan Gibran R�",indonesia
5,merdekadotcom,in,11/6/2020 15:26,4,3,"Usai Debat Pertama, Gibran Serahkan Penilaian kepada Warga Solo: Debat publik Pilkada Solo 2020 antara pasangan Gib� https://t.co/pVRlbgNjuB",Indonesia
5,detikfinance,in,11/6/2020 14:45,7,2,Calon Wali Kota/Wakil Wali Kota Solo nomor urut 2 Bagyo dan FX Supardjo (Bajo) akan melibatkan semua pengusaha di w� https://t.co/uM53ML3iC0,"Jakarta, Indonesia"
5,Metro_TV,in,11/6/2020 13:59,0,0,"#DebatPublikSurakarta
Bagyo Wahyono &amp; Supardjo F.X: BAJO adalah orang kecil, BAJO berjuang untuk rakyat. BAJO ini t� https://t.co/XGfUFTNGki","�T:-6.186977, 106.759125"
5,kumparan,in,11/6/2020 12:32,2,0,"asangan Gibran-Teguh tiba terlebih dahulu di lokasi debat Pilwakot Solo, disusul pasangan Bagyo-Supardjo yang datan� https://t.co/dsYDWODobA",
5,kumparan,in,11/6/2020 12:25,3,0,"Di debat perdana, Gibran-Teguh pakai baju putih dan celana hitam sementara Bagyo-Supardjo mengenakan baju hitam. https://t.co/pfoDkyy8Dh",
5,KompasTV,in,11/6/2020 11:59,1,1,Sesaat lagi! Saksikan debat antara Paslon @GibranRakabumi-Teguh Prakosa dan Paslon Bagyo Wahyono-FX Supardjo secara� https://t.co/2Ll6s4Zj32,Indonesia
5,Metro_TV,in,11/6/2020 11:13,3,0,Paslon nomor urut 1 Gibran Rakabuming-Teguh Prakosa berhadapan dgn paslon nomor urut 2 Bagyo Wahyono-F.X Supardjo.� https://t.co/0RejhhdkHs,"�T:-6.186977, 106.759125"
5,Metro_TV,in,11/6/2020 10:54,2,0,"Ikuti informasi terbaru menjelang debat Pilkada Surakarta, yang menghadirkan 2 paslon Gibran-Teguh VS Bagyo-Supardj� https://t.co/lD7s0w3zfQ","�T:-6.186977, 106.759125"
5,KompasTV,in,11/6/2020 10:28,3,0,"Seperti apa visi misi dua pasang Calon Wali Kota dan Calon Wakil Wali Kota Solo?

Saksikan debat antara Paslon� https://t.co/BgAdqANuuS",Indonesia
5,KompasTV,in,11/6/2020 8:38,5,0,"Saksikan Debat Pilkada Surakarta, antara Paslon 
@GibranRakabumi -Teguh Prakosa dan Paslon Bagyo Wahyono-FX Supardj� https://t.co/BMSlWWVUN1",Indonesia
5,ryolandafit,in,11/6/2020 8:05,0,1,RT @Metro_TV: Paslon nomor urut 1 Gibran Rakabuming-Teguh Prakosa berhadapan dgn paslon nomor urut 2 Bagyo Wahyono-F.X Supardjo. Siapa yang�,
