,screen_name,lang,created_at,fav_count,retweet_count,text,location
26,nasai_yayan,in,2020-09-24 06:50:48,0,2,"RT @KompasTV: KPU Tetapkan 2 Paslon Pilwakot Solo, Gibran-Teguh dan Bagyo-Supardjo https://t.co/bu7Hn0gEZX",
27,detikcom,in,2020-09-24 06:47:37,6,1,Pasangan Gibran Rakabuming Raka-Teguh Prakosa (Gibran-Teguh) dan Bagyo Wahyono-FX Supardjo (Bajo) menghadiri pengun… https://t.co/52Cd2Ynbup,"Jakarta, Indonesia"
28,KompasTV,in,2020-09-24 06:34:03,3,2,"KPU Tetapkan 2 Paslon Pilwakot Solo, Gibran-Teguh dan Bagyo-Supardjo https://t.co/bu7Hn0gEZX",Indonesia
29,ChengHo48078612,in,2020-09-24 05:59:31,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
30,Nurchan93995658,in,2020-09-24 05:22:03,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
31,Rangga__6,in,2020-09-24 04:45:28,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"DKI Jakarta, Indonesia"
32,radarmasnetwork,in,2020-09-24 04:44:35,0,0,"Sah Jadi Paslon, Gibran-Teguh &amp; Bagyo-Supardjo Tak Soalkan Nomor Urut https://t.co/Dal12YHApy","Banyumas, Central Java"
33,NewBintangTimur,in,2020-09-24 04:42:50,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"DKI Jakarta, Indonesia"
34,3_4ngels,in,2020-09-24 04:28:53,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,#𝘼𝙘𝙘𝙤𝙪𝙣𝙩𝙁𝙖𝙧𝙢𝙨
35,Olla______,in,2020-09-24 04:23:45,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
36,kekasih_hamba,in,2020-09-24 03:59:44,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
37,Hoax_Vangsat,in,2020-09-24 03:34:10,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"Uşak, Türkiye"
38,MuahMuah96,in,2020-09-24 03:23:23,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,Indonesia
39,budiira88,in,2020-09-24 03:04:36,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,"Kalimantan Selatan, Indonesia"
40,Den__Artfleck17,in,2020-09-24 03:00:38,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
41,FatimahSw33ty,in,2020-09-24 02:34:30,30,18,😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tag… https://t.co/wf9dtRuflF,
42,CNNIDdaily,in,2020-09-24 02:03:16,1,1,Pasangan Gibran-Teguh dan Bagyo-Supardjo secara resmi akan bertarung memperebutkan kursi Wali Kota Solo. Kedua pasa… https://t.co/jruNxEwlUi,Indonesia
43,NarasiNewsroom,in,2020-09-24 00:26:54,0,1,Bagyo Wahyono dan F.X. Supardjo dipastikan menjadi lawan Gibran-Teguh dalam Pilwalkot Solo 2020. Bagyo-Supardjo maj… https://t.co/QGqKGnE46z,
