screen_name,lang,created_at,fav_count,retweet_count,text,location
_Umamlik,in,9/24/2020 13:25,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",
LahAkuKenapa,in,9/24/2020 13:17,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",I N D O N E S I A
L0v3D0lph1n,in,9/24/2020 13:15,0,7,"RT @myCaffe0: Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyik dan hidu…",Ride with the wave
myCaffe0,in,9/24/2020 13:12,11,7,"Gw kira tuh gk ad lawanny ternyta ad juga tp lewat jalur independen toh..
Seru juga nih lau kayak gini..jd lbh asyi… https://t.co/px9GHlBQYo",jembatan shirotol mustaqim
dwikartiko6,in,9/24/2020 11:50,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
masplonget,in,9/24/2020 11:35,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
elalorries,in,9/24/2020 11:13,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,kota ambarawa desa bedono
Lforjustice1,in,9/24/2020 10:57,0,18,RT @FatimahSw33ty: 😇🤲Selamat pagi Assalamu'alaikum wr wb Semoga kita selalu patuhi Protokol kesehatan agar terhindar dari Covid19. Tagar ha…,
perinde_santosa,in,9/24/2020 10:45,2,0,"@_AwasiPilkada 
Dua pasangan calon walikota di The Sunan Hotel Solo.
Pasangan Gibran-Teguh mendapat nomor urut 01.… https://t.co/Us2GdVZv9s",surakarta
detikcom,in,9/24/2020 10:41,2,1,Paslon Bagyo Wahyono-FX Supardjo (Bajo) mengincar nomor urut 1 dalam Pilkada Solo. Meski pada kenyataannya mendapat… https://t.co/QGC2x2K30p,"Jakarta, Indonesia"
